Country,Sex,Age,MM,YYYY
AUSTRALIA,M,44,Aug,2023
BAHAMAS,M,20/30,Aug,2023
BAHAMAS,F,73,Jun,2023
SEYCHELLES,M,6,Mar,2023
ARGENTINA,M,32,Feb,2023
COSTA RICA,F,50,Feb,2022
BRAZIL,M,11,Nov,2021
AUSTRALIA,M,26,Oct,2021
EGYPT,M,,Sep,2021
AUSTRALIA,,,Jul,2020
AUSTRALIA,F,,Jun,2020
AUSTRALIA,,,Dec,2019
FRENCH POLYNESIA,F,35,Oct,2019
AUSTRALIA,F,,Jul,2019
USA,,,Jul,2019
BAHAMAS,M,50,Jun,2019
USA,F,,Jul,2018
COLOMBIA,M,62,Jul,2018
BRAZIL,M,34,Apr,2018
SOUTH AFRICA,M,31,Oct,2017
USA,M,33,Sep,2017
SOUTH AFRICA,M,25,Sep,2017
SPAIN,F,11,Aug,2017
USA,M,10,Jul,2017
USA,F,8,Jul,2017
COMOROS,,,Jul,2017
USA,M,,Jun,2017
USA,F,18,May,2017
USA,F,,Apr,2017
USA,M,,Apr,2017
SOUTH AFRICA,M,68,Apr,2017
AUSTRALIA,M,35,Jan,2017
AUSTRALIA,M,20,Jan,2017
USA,M,19,Dec,2016
MEXICO,M,,Oct,2016
MEXICO,,,Sep,2016
USA,M,27,Jun,2016
AUSTRALIA,M,,Jun,2016
CAPE VERDE,M,60,Apr,2016
USA,M,,Apr,2016
USA,M,Teen,Mar,2016
USA,,,Mar,2016
CAYMAN ISLANDS,M,65,Feb,2016
AUSTRALIA,M,,Feb,2016
USA,F,9,Nov,2015
USA,M,32,Oct,2015
USA,M,,Aug,2015
SPAIN,M,10,Aug,2015
AUSTRALIA,M,40,Jul,2015
USA,F,35,Jul,2015
USA,M,39,Jul,2015
FRENCH POLYNESIA,M,,Jul,2015
USA,F,,Jun,2015
ITALY,M,43,Mar,2015
BRAZIL,M,23,Mar,2015
AUSTRALIA,F,,Jan,2015
USA,M,38,Jan,2015
SOUTH AFRICA,,,Dec,2014
USA,M,,Sep,2014
USA,,,Aug,2014
,M,,Aug,2014
BAHAMAS,M,63,Jul,2014
USA,M,,May,2014
AUSTRALIA,M,38,Mar,2014
AUSTRALIA,F,10,Mar,2014
CAYMAN ISLANDS,M,,Mar,2014
USA,F,47,Aug,2013
SPAIN,M,48,Jul,2013
JAMAICA,M,20,Jun,2013
USA,M,42,May,2013
AUSTRALIA,M,24,Apr,2013
AUSTRALIA,M,47,Mar,2013
AUSTRALIA,M,62,Jan,2013
AUSTRALIA,M,20,Nov,2012
USA,M,,Oct,2012
USA,M,12,Jul,2012
TRINIDAD & TOBAGO,M,24,Jul,2012
CANADA,F,23,Jul,2012
AUSTRALIA,F,42,Jul,2012
CROATIA,,60,Jun,2012
USA,M,16,Jun,2012
SAUDI ARABIA,M,42,Mar,2012
ANTIGUA,M,,Dec,2011
SOUTH AFRICA,M,,Dec,2011
AUSTRALIA,,,Dec,2011
USA,M,27,Sep,2011
AUSTRALIA,M,48,Aug,2011
USA,M,12,Aug,2011
BRAZIL,M,14,Jul,2011
UNITED ARAB EMIRATES (UAE),M,43,May,2011
EGYPT,F,,Mar,2010
AUSTRALIA,F,7,Jan,2011
AUSTRALIA,M,,Nov,2010
BAHAMAS,M,43,Aug,2010
USA,F,,Aug,2010
GUAM,M,31,Feb,2010
SOUTH AFRICA,M,,Dec,2009
USA,M,49,Nov,2009
NEVIS,M,,Sep,2009
SPAIN,F,11,Jul,2009
USA,M,26,Jun,2009
USA,M,14,Jun,2009
USA,M,49,Apr,2009
SOUTH AFRICA,M,24,Apr,2009
BRAZIL,M,17,Jan,2009
BRAZIL,M,17,Jan,2009
AUSTRALIA,,,Dec,2008
USA,M,27,Aug,2008
USA,F,20,Aug,2008
USA,M,7,Aug,2008
USA,M,52,Jul,2008
USA,M,53,Jun,2008
SOUTH AFRICA,M,,Apr,2008
MEXICO,M,32,Apr,2008
AUSTRALIA,M,19,Apr,2008
JAPAN,M,,,2008
NEW ZEALAND,M,,Jan,2008
BRITISH VIRGIN ISLANDS,M,53,Dec,2007
AUSTRALIA,M,34,Dec,2007
MEXICO,M,,November,2011
USA,F,,Sep,2007
USA,F,43,Jul,2007
SENEGAL,,,Jul,2007
USA,F,9,Jun,2007
AUSTRALIA,M,45,May,2007
COSTA RICA,M,36,Feb,2007
AUSTRALIA,M,20,Jan,2007
USA,M,54,Jan,2007
FRENCH POLYNESIA,M,,,2007
SOUTH AFRICA,M,36,Sep,2006
